recording_id	prompt_id	take	tier	kind	asaxi	translation_en	translation_scope	dictionary_pitch_by_word	predicted_utterance_pitch_by_word	morphology_by_word	predicted_boundary_tone	reference_authority	reference_reading	reference_agreement	annotation_status
asx_ctl_001_t01	asx_ctl_001	1	A	prosody_control	shěsonů.	to read (citation form)	exact	shěsonů [H.L.L]	shěsonů [H.L.L]	shěsonů [lexical]	L%	attested	H.L.L	exact	attested
asx_ctl_001_t02	asx_ctl_001	2	A	prosody_control	shěsonů.	to read (citation form)	exact	shěsonů [H.L.L]	shěsonů [H.L.L]	shěsonů [lexical]	L%	attested	H.L.L	exact	attested
asx_ctl_001_t03	asx_ctl_001	3	A	prosody_control	shěsonů.	to read (citation form)	exact	shěsonů [H.L.L]	shěsonů [H.L.L]	shěsonů [lexical]	L%	attested	H.L.L	exact	attested
asx_ctl_002_t01	asx_ctl_002	1	A	prosody_control	zènáshěsonů.	did not read (controlled inflected form)	exact	zènáshěsonů [L.H.H.L.L]	zènáshěsonů [H.L.H.L.L]	zènáshěsonů [zè- (prefix) + ná (dominant prefix) + shěsonů (root)]	L%	attested	H.L.H.L.L	exact	attested
asx_ctl_002_t02	asx_ctl_002	2	A	prosody_control	zènáshěsonů.	did not read (controlled inflected form)	exact	zènáshěsonů [L.H.H.L.L]	zènáshěsonů [H.L.H.L.L]	zènáshěsonů [zè- (prefix) + ná (dominant prefix) + shěsonů (root)]	L%	attested	H.L.H.L.L	exact	attested
asx_ctl_002_t03	asx_ctl_002	3	A	prosody_control	zènáshěsonů.	did not read (controlled inflected form)	exact	zènáshěsonů [L.H.H.L.L]	zènáshěsonů [H.L.H.L.L]	zènáshěsonů [zè- (prefix) + ná (dominant prefix) + shěsonů (root)]	L%	attested	H.L.H.L.L	exact	attested
asx_ctl_003_t01	asx_ctl_003	1	A	prosody_control	pazènáchỏnů.	controlled complex inflected form	exact	pazènáchỏnů [L.L.H.H.H]	pazènáchỏnů [H.L.H.H.H]	pazènáchỏnů [pa- (prefix) + zè- (prefix) + ná (dominant prefix) + chỏnů (root)]	L%	attested	H.L.H.H.H	exact	attested
asx_ctl_003_t02	asx_ctl_003	2	A	prosody_control	pazènáchỏnů.	controlled complex inflected form	exact	pazènáchỏnů [L.L.H.H.H]	pazènáchỏnů [H.L.H.H.H]	pazènáchỏnů [pa- (prefix) + zè- (prefix) + ná (dominant prefix) + chỏnů (root)]	L%	attested	H.L.H.H.H	exact	attested
asx_ctl_003_t03	asx_ctl_003	3	A	prosody_control	pazènáchỏnů.	controlled complex inflected form	exact	pazènáchỏnů [L.L.H.H.H]	pazènáchỏnů [H.L.H.H.H]	pazènáchỏnů [pa- (prefix) + zè- (prefix) + ná (dominant prefix) + chỏnů (root)]	L%	attested	H.L.H.H.H	exact	attested
asx_ctl_004_t01	asx_ctl_004	1	A	prosody_control	mmbănă.	happy; joyful (citation form)	exact	mmbănă [L.H.L]	mmbănă [L.H.L]	mmbănă [lexical]	L%	attested	L.H.L	exact	attested
